episode_id,seat,policy_tag,win,opening_shape
154,1,flexaggrod,0,3.12
154,2,flexaggrod,0,3.254
154,3,flexaggrod,1,1.829
155,0,flexaggrod,0,3.254
155,1,flexaggrod,0,2.7990000000000004
155,2,flexaggrod,1,4.09
155,3,flexaggrod,0,1.799
156,0,flexaggrod,0,2.284
156,1,flexaggrod,1,2.254
156,2,flexaggrod,0,2.7390000000000003
156,3,flexaggrod,0,3.254
157,0,flexaggrod,1,1.829
157,1,flexaggrod,0,3.769
157,2,flexaggrod,0,2.769
157,3,flexaggrod,0,5.06
158,0,flexaggrod,0,3.769
158,1,flexaggrod,0,3.254
158,2,flexaggrod,1,2.7990000000000004
158,3,flexaggrod,0,4.09
159,0,flexaggrod,0,4.09
159,1,flexaggrod,0,3.254
159,2,flexaggrod,0,2.7390000000000003
159,3,flexaggrod,1,1.739
160,0,flexaggrod,0,4.06
160,1,flexaggrod,0,5.06
160,2,flexaggrod,1,1.829
160,3,flexaggrod,0,2.284
161,0,flexaggrod,0,4.06
161,1,flexaggrod,0,3.254
161,2,flexaggrod,0,3.254
161,3,flexaggrod,1,2.7390000000000003
162,0,flexaggrod,0,5.06
162,1,flexaggrod,0,3.769
162,2,flexaggrod,1,2.254
162,3,flexaggrod,0,3.769
163,0,flexaggrod,0,3.769
163,1,flexaggrod,0,2.254
163,2,flexaggrod,0,4.06
163,3,flexaggrod,1,3.769
164,0,flexaggrod,0,4.06
164,1,flexaggrod,0,3.254
164,2,flexaggrod,1,4.06
164,3,flexaggrod,0,3.769
165,0,flexaggrod,0,5.06
165,1,flexaggrod,0,2.7990000000000004
165,2,flexaggrod,1,3.769
165,3,flexaggrod,0,2.284
166,0,flexaggrod,0,2.7390000000000003
166,1,flexaggrod,0,1.739
166,2,flexaggrod,0,3.254
166,3,flexaggrod,1,1.7690000000000001
167,0,flexaggrod,0,4.09
167,1,flexaggrod,0,4.06
167,2,flexaggrod,1,3.254
167,3,flexaggrod,0,2.2239999999999998
168,0,flexaggrod,1,2.2239999999999998
168,1,flexaggrod,0,5.06
168,2,flexaggrod,0,4.06
168,3,flexaggrod,0,3.254
169,0,flexaggrod,0,1.829
169,1,flexaggrod,0,3.254
169,2,flexaggrod,0,2.254
169,3,flexaggrod,1,2.7390000000000003
170,0,flexaggrod,0,2.284
170,1,flexaggrod,1,1.829
170,2,flexaggrod,0,2.2239999999999998
170,3,flexaggrod,0,2.7390000000000003
171,0,flexaggrod,0,3.12
171,1,flexaggrod,0,3.769
171,2,flexaggrod,1,2.284
171,3,flexaggrod,0,3.06
172,0,flexaggrod,0,2.7390000000000003
172,1,flexaggrod,0,3.254
172,2,flexaggrod,0,2.284
172,3,flexaggrod,1,3.254
173,0,flexaggrod,0,3.254
173,1,flexaggrod,0,2.7990000000000004
173,2,flexaggrod,1,2.284
173,3,flexaggrod,0,4.09
174,0,flexaggrod,0,3.769
174,1,flexaggrod,0,2.284
174,2,flexaggrod,0,1.7690000000000001
174,3,flexaggrod,1,2.284
175,0,flexaggrod,0,4.09
175,1,flexaggrod,0,2.7990000000000004
175,2,flexaggrod,0,3.769
175,3,flexaggrod,1,3.12
176,0,flexaggrod,0,3.254
176,1,flexaggrod,1,2.7990000000000004
176,2,flexaggrod,0,4.06
176,3,flexaggrod,0,3.254
177,0,flexaggrod,0,1.829
177,1,flexaggrod,0,2.769
177,2,flexaggrod,0,2.254
177,3,flexaggrod,0,3.254
178,0,flexaggrod,0,2.7990000000000004
178,1,flexaggrod,0,2.254
178,2,flexaggrod,1,3.254
178,3,flexaggrod,0,3.769
179,0,flexaggrod,1,2.7390000000000003
179,1,flexaggrod,0,3.254
179,2,flexaggrod,0,2.7390000000000003
179,3,flexaggrod,0,2.769
180,0,flexaggrod,0,3.769
180,1,flexaggrod,0,1.829
180,2,flexaggrod,0,2.254
180,3,flexaggrod,0,3.769
181,0,flexaggrod,0,2.7990000000000004
181,1,flexaggrod,0,2.7390000000000003
181,2,flexaggrod,0,3.254
181,3,flexaggrod,0,3.12
182,0,flexaggrod,0,3.769
182,1,flexaggrod,0,2.7390000000000003
182,2,flexaggrod,0,1.829
182,3,flexaggrod,1,2.769
183,0,flexaggrod,0,4.09
183,1,flexaggrod,1,2.7990000000000004
183,2,flexaggrod,0,2.7390000000000003
183,3,flexaggrod,0,4.03
184,0,flexaggrod,0,4.03
184,1,flexaggrod,0,2.7990000000000004
184,2,flexaggrod,1,2.284
184,3,flexaggrod,0,3.769
185,0,flexaggrod,0,2.769
185,1,flexaggrod,0,2.7390000000000003
185,2,flexaggrod,0,2.7990000000000004
185,3,flexaggrod,0,1.7690000000000001
186,0,flexaggrod,0,2.7390000000000003
186,1,flexaggrod,1,3.12
