episode_id,policy_tag,win,opening_shape,points,reward
120,flexaggrod,0,3.254,0.0,0.0
120,flexaggrod,0,2.7990000000000004,0.0,0.0
120,flexaggrod,0,2.254,0.0,0.0
120,flexaggrod,0,1.739,0.0,0.0
121,flexaggrod,0,3.254,0.0,-3.125
121,flexaggrod,1,2.7990000000000004,0.0,1.5625
121,flexaggrod,0,2.284,0.0,0.0
121,flexaggrod,1,4.09,0.0,1.5625
122,flexaggrod,1,2.769,0.0,0.75
122,flexaggrod,0,1.829,0.0,0.0
122,flexaggrod,0,2.7390000000000003,0.0,-0.75
122,flexaggrod,0,4.06,0.0,0.0
123,flexaggrod,0,5.06,0.0,-1.4375
123,flexaggrod,1,3.769,0.0,4.3125
123,flexaggrod,0,3.254,0.0,-1.4375
123,flexaggrod,0,3.254,0.0,-1.4375
124,flexaggrod,1,2.7390000000000003,0.0,1.5625
124,flexaggrod,0,3.254,0.0,-1.5625
124,flexaggrod,0,2.284,0.0,0.0
124,flexaggrod,0,5.06,0.0,0.0
125,flexaggrod,0,3.769,0.0,-2.6875
125,flexaggrod,1,1.739,0.0,7.5
125,flexaggrod,0,3.769,0.0,-2.6875
125,flexaggrod,0,3.254,0.0,-2.6875
126,flexaggrod,0,3.769,0.0,-1.4375
126,flexaggrod,1,2.284,0.0,1.4375
126,flexaggrod,0,3.769,0.0,0.0
126,flexaggrod,0,2.284,0.0,0.0
127,flexaggrod,0,2.7390000000000003,0.0,-1.4375
127,flexaggrod,0,5.06,0.0,0.0
127,flexaggrod,1,2.7390000000000003,0.0,1.4375
127,flexaggrod,0,3.254,0.0,0.0
128,flexaggrod,0,3.769,0.0,-1.4375
128,flexaggrod,1,3.254,0.0,1.4375
128,flexaggrod,0,4.09,0.0,0.0
128,flexaggrod,0,3.769,0.0,0.0
129,flexaggrod,0,2.769,0.0,0.0
129,flexaggrod,0,3.12,0.0,-1.3125
129,flexaggrod,1,3.254,0.0,1.3125
129,flexaggrod,0,2.284,0.0,0.0
130,flexaggrod,1,3.12,0.0,4.3125
130,flexaggrod,0,2.769,0.0,-1.4375
130,flexaggrod,0,2.7390000000000003,0.0,-1.4375
130,flexaggrod,0,3.769,0.0,-1.4375
131,flexaggrod,0,3.769,0.0,-1.5
131,flexaggrod,0,3.0900000000000003,0.0,0.0
131,flexaggrod,0,2.7990000000000004,0.0,0.0
131,flexaggrod,1,2.769,0.0,1.5
132,flexaggrod,1,3.254,0.0,1.5
132,flexaggrod,0,2.769,0.0,-2.9375
132,flexaggrod,1,3.254,0.0,1.4375
132,flexaggrod,0,1.7690000000000001,0.0,0.0
133,flexaggrod,0,3.254,0.0,0.0
133,flexaggrod,0,5.06,0.0,-1.375
133,flexaggrod,0,2.284,0.0,0.0
133,flexaggrod,1,3.254,0.0,1.375
134,flexaggrod,1,3.769,0.0,2.625
134,flexaggrod,0,2.284,0.0,0.0
134,flexaggrod,0,2.7990000000000004,0.0,0.0
134,flexaggrod,0,2.284,0.0,-2.625
135,flexaggrod,0,5.06,0.0,-1.375
135,flexaggrod,0,3.769,0.0,0.0
135,flexaggrod,0,3.254,0.0,0.0
135,flexaggrod,1,3.254,0.0,1.375
136,flexaggrod,0,3.769,0.0,0.0
136,flexaggrod,1,3.254,0.0,1.5625
136,flexaggrod,0,2.254,0.0,0.0
136,flexaggrod,0,2.284,0.0,-1.5625
137,flexaggrod,0,1.709,0.0,-1.3125
137,flexaggrod,1,3.254,0.0,3.9375
137,flexaggrod,0,4.06,0.0,-1.3125
137,flexaggrod,0,2.769,0.0,-1.3125
138,flexaggrod,0,2.7390000000000003,0.0,-1.625
